Noise Frequency,Noise Temperature,Gain Frequency,Gain
2.02943508258329,10.813055089064,2.04101743831626,15.3024401243574
2.07509317405497,10.3294930873282,2.10113679809284,15.8180823297848
2.15584896947362,9.79528407476261,2.11607890592566,16.3897426403303
2.22207056543837,9.19606717587216,2.13657738080897,17.0933690610189
2.24681800954035,8.74259781953348,2.15245033520477,17.8853396500501
2.31201447516081,8.27302844395943,2.18565419217362,18.4714927145975
2.42218116328675,8.06433402344782,2.2144964500477,18.9663496441166
2.51854390096712,7.3926065630344,2.20718394768674,19.5158860161713
2.63166298072614,6.98324065388383,2.30499358600939,18.0320114162389
2.72227414202458,6.47834749997536,2.33624609540567,18.694419477761
2.82414630125287,6.01044406566638,2.3640640869222,19.2989068402881
2.93159397831045,5.64519328273133,2.38624515735875,19.8947294604749
3.02786758591333,5.10989426093862,2.42124202827549,20.6153464894866
3.14100136444827,4.67802942543579,2.50793198845851,21.1771269236409
3.2653692074417,4.32438047633243,2.60246492763108,20.9756157598732
3.38967495560622,4.06577801202331,2.62775810123356,21.6061302130228
3.51398610332108,3.79891063599294,2.65552584617724,22.287528329724
3.63830670024903,3.51757966445041,2.71969748692056,22.9940373262885
3.76251120684466,3.4139442949145,2.71119825132924,23.4407529313821
3.88670896400236,3.32064006503014,2.83733575902193,22.8460263422587
4.01095396722555,3.15501785758494,2.91705181391937,23.5948523467012
4.135211119437,2.97079959876696,2.9525604554855,24.1490413832954
4.25941292625746,2.87129668509167,3.03785810947867,24.3742893657217
4.38355938768693,2.85650911655907,3.12448207320108,24.2145253401337
4.50774094619361,2.78799962183842,3.17299669010691,24.8080552278113
4.63192925413822,2.70915898746623,3.26308591915864,25.102066366212
4.75613916028419,2.59725870620908,3.38726837838048,25.0321781768232
4.88024782486128,2.64032551972515,3.51132226051355,25.1590986513144
5.00433219146183,2.72058443598679,3.63568472765967,24.8136783324936
5.12856774547192,2.56942582405376,3.75986583343847,24.7458618132509
5.25274795409102,2.50298255726342,3.8841944645086,24.4522332480828
5.37690791439634,2.46753270942773,4.00851497492049,24.1710347037913
5.50103412751203,2.48373855984977,4.1327610459652,24.0037780175355
5.62516709006565,2.48961327062027,4.25708832359229,23.7122211225135
5.7493607975606,2.40250772452684,4.38135198939651,23.5180327243584
5.87350590910249,2.38978638392455,4.5056007673273,23.3466326978104
5.99757407705202,2.49484003534991,4.62984413148593,23.1835193518469
6.12172188836908,2.47798623888699,4.7541335127079,22.9499692209158
6.24585080125994,2.49005963344842,4.87838499752477,22.7744258540756
6.36999186313907,2.48353697663706,5.00264189611379,22.5905958066511
